partij,type,medium,days,gezien,waardering
PvdA & Lilianne Ploumen,Zwevend,Socials,Nauwelijks,1.24,5.72
PvdA & Lilianne Ploumen,Zwevend,Socials,Regelmatig,1.36,5.62
PvdA & Lilianne Ploumen,Zwevend,Socials,Vaak,1.45,6.09
PvdA & Lilianne Ploumen,Zwevend,TV,Nauwelijks,0.77,4.83
PvdA & Lilianne Ploumen,Zwevend,TV,Regelmatig,1.58,5.62
PvdA & Lilianne Ploumen,Zwevend,TV,Vaak,1.44,6
PvdD & Esther Ouwehand,Coalitievoorkeur,Krant,Nauwelijks,0.7,5.66
PvdD & Esther Ouwehand,Coalitievoorkeur,Krant,Regelmatig,0.84,5.87
PvdD & Esther Ouwehand,Coalitievoorkeur,Krant,Vaak,0.86,5.86
PvdD & Esther Ouwehand,Coalitievoorkeur,Socials,Nauwelijks,0.75,5.72
PvdD & Esther Ouwehand,Coalitievoorkeur,Socials,Regelmatig,0.77,5.98
PvdD & Esther Ouwehand,Coalitievoorkeur,Socials,Vaak,0.93,5.85
PvdD & Esther Ouwehand,Coalitievoorkeur,TV,Nauwelijks,0.6,5.16
PvdD & Esther Ouwehand,Coalitievoorkeur,TV,Regelmatig,0.78,5.82
PvdD & Esther Ouwehand,Coalitievoorkeur,TV,Vaak,0.86,5.91
PvdD & Esther Ouwehand,Niet stemmer,Krant,Nauwelijks,0.38,5.62
PvdD & Esther Ouwehand,Niet stemmer,Krant,Regelmatig,0.78,7.5
PvdD & Esther Ouwehand,Niet stemmer,Krant,Vaak,1,6
PvdD & Esther Ouwehand,Niet stemmer,Socials,Nauwelijks,0.43,5.95
PvdD & Esther Ouwehand,Niet stemmer,Socials,Regelmatig,0.9,5
PvdD & Esther Ouwehand,Niet stemmer,Socials,Vaak,0.93,6
PvdD & Esther Ouwehand,Niet stemmer,TV,Nauwelijks,0.37,6.33
PvdD & Esther Ouwehand,Niet stemmer,TV,Regelmatig,0.67,6.5
PvdD & Esther Ouwehand,Niet stemmer,TV,Vaak,0.85,5
PvdD & Esther Ouwehand,Partijvoorkeur,Krant,Nauwelijks,0.68,5.64
PvdD & Esther Ouwehand,Partijvoorkeur,Krant,Regelmatig,0.83,5.86
PvdD & Esther Ouwehand,Partijvoorkeur,Krant,Vaak,0.86,5.86
PvdD & Esther Ouwehand,Partijvoorkeur,Socials,Nauwelijks,0.73,5.72
PvdD & Esther Ouwehand,Partijvoorkeur,Socials,Regelmatig,0.79,5.93
PvdD & Esther Ouwehand,Partijvoorkeur,Socials,Vaak,0.94,5.84
PvdD & Esther Ouwehand,Partijvoorkeur,TV,Nauwelijks,0.58,5.08
PvdD & Esther Ouwehand,Partijvoorkeur,TV,Regelmatig,0.81,5.78
PvdD & Esther Ouwehand,Partijvoorkeur,TV,Vaak,0.84,5.93
PvdD & Esther Ouwehand,Zwevend,Krant,Nauwelijks,0.61,5.74
PvdD & Esther Ouwehand,Zwevend,Krant,Regelmatig,0.9,5.41
PvdD & Esther Ouwehand,Zwevend,Krant,Vaak,1.02,6.27
PvdD & Esther Ouwehand,Zwevend,Socials,Nauwelijks,0.71,5.84
PvdD & Esther Ouwehand,Zwevend,Socials,Regelmatig,0.84,5.59
PvdD & Esther Ouwehand,Zwevend,Socials,Vaak,0.99,6.13
PvdD & Esther Ouwehand,Zwevend,TV,Nauwelijks,0.49,4.38
PvdD & Esther Ouwehand,Zwevend,TV,Regelmatig,1,5.44
PvdD & Esther Ouwehand,Zwevend,TV,Vaak,0.85,6.24
PVV & Geert Wilders,Coalitievoorkeur,Krant,Nauwelijks,1.84,4.53
PVV & Geert Wilders,Coalitievoorkeur,Krant,Regelmatig,1.9,4.56
PVV & Geert Wilders,Coalitievoorkeur,Krant,Vaak,1.99,4.01
PVV & Geert Wilders,Coalitievoorkeur,Socials,Nauwelijks,1.86,4.2
PVV & Geert Wilders,Coalitievoorkeur,Socials,Regelmatig,1.93,4.58
PVV & Geert Wilders,Coalitievoorkeur,Socials,Vaak,2.04,4.52
PVV & Geert Wilders,Coalitievoorkeur,TV,Nauwelijks,1.73,4.21
PVV & Geert Wilders,Coalitievoorkeur,TV,Regelmatig,1.82,4.94
PVV & Geert Wilders,Coalitievoorkeur,TV,Vaak,1.99,4.21
PVV & Geert Wilders,Niet stemmer,Krant,Nauwelijks,1.29,5.19
PVV & Geert Wilders,Niet stemmer,Krant,Regelmatig,1.11,6.2
PVV & Geert Wilders,Niet stemmer,Krant,Vaak,1.6,6
PVV & Geert Wilders,Niet stemmer,Socials,Nauwelijks,1.25,5.1
PVV & Geert Wilders,Niet stemmer,Socials,Regelmatig,1.38,6.29
